applicant_id,resume_text
A1001,"Experienced engineer skilled in Python and cloud infrastructure"
A1002,"Junior engineer eager to learn best practices and new technologies"
A1003,"Marketing enthusiast with creative ideas and social media knowledge"
A1004,"Seasoned marketer with proven record of successful campaigns"
A1005,"HR professional focused on talent development and employee relations"
A1006,"HR leader with years of strategic planning experience"
A1007,"Software developer specializing in backend systems and databases"
A1008,"Entry-level engineer familiar with JavaScript and web frameworks"
A1009,"People-focused HR manager experienced in process improvement"
A1010,"Innovative marketer who values data-driven decision making"
